,question,answers,gpt_answers,acc@1,acc@3,acc@majority,acc@majority_3,metadata_qid,metadata_question,metadata_gold_answer,metadata_prev_model_answer,decomposition_0
92,"{'question': 'When did the person who said ""Cogito, ergo sum."" die?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: Who said ""Cogito, ergo sum.""?\nIntermediate answer: The person who said ""Cogito, ergo sum."" was René Descartes.\nFollow up: When did René Descartes die?\nIntermediate answer: René Descartes died on February 11, 1650.\nSo the final answer is: February 11, 1650.\n'], 'decompsition_steps': [[{'question': 'Who said ""Cogito, ergo sum.""?', 'answer': 'The person who said ""Cogito, ergo sum."" was René Descartes.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'When did René Descartes die?', 'answer': 'René Descartes died on February 11, 1650.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'February 11, 1650.'}]], 'traces_entailments': None}",,"['February 11, 1650']",1,1,1,1,97,"When did the person who said ""Cogito, ergo sum."" die?","February 11, 1650",,"
Are follow up questions needed here: Yes.
Follow up: Who said ""Cogito, ergo sum.""?
Intermediate answer: The person who said ""Cogito, ergo sum."" was René Descartes.
Follow up: When did René Descartes die?
Intermediate answer: René Descartes died on February 11, 1650.
So the final answer is: February 11, 1650.
"
93,"{'question': 'Who was the father of the father of empiricism?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: Who was the father of empiricism?\nIntermediate answer: The father of empiricism was John Locke.\nFollow up: Who was the father of John Locke?\nIntermediate answer: The father of John Locke was John Locke Sr.\nSo the final answer is: John Locke Sr.\n'], 'decompsition_steps': [[{'question': 'Who was the father of empiricism?', 'answer': 'The father of empiricism was John Locke.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'Who was the father of John Locke?', 'answer': 'The father of John Locke was John Locke Sr.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'John Locke Sr.'}]], 'traces_entailments': None}",,['John Locke Sr'],0,0,0,0,98,Who was the father of the father of empiricism?,Sir Nicholas Bacon,,"
Are follow up questions needed here: Yes.
Follow up: Who was the father of empiricism?
Intermediate answer: The father of empiricism was John Locke.
Follow up: Who was the father of John Locke?
Intermediate answer: The father of John Locke was John Locke Sr.
So the final answer is: John Locke Sr.
"
94,"{'question': 'What is the primary male hormone derived from?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What is the primary male hormone?\nIntermediate answer: The primary male hormone is testosterone.\nFollow up: What is testosterone derived from?\nIntermediate answer: Testosterone is derived from cholesterol.\nSo the final answer is: Cholesterol.\n'], 'decompsition_steps': [[{'question': 'What is the primary male hormone?', 'answer': 'The primary male hormone is testosterone.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'What is testosterone derived from?', 'answer': 'Testosterone is derived from cholesterol.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Cholesterol.'}]], 'traces_entailments': None}",,['Cholesterol'],0,0,0,0,99,What is the primary male hormone derived from?,gonads,,"
Are follow up questions needed here: Yes.
Follow up: What is the primary male hormone?
Intermediate answer: The primary male hormone is testosterone.
Follow up: What is testosterone derived from?
Intermediate answer: Testosterone is derived from cholesterol.
So the final answer is: Cholesterol.
"
95,"{'question': 'In what year was the tallest fixed steel structure completed?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What is the tallest fixed steel structure?\nIntermediate answer: The tallest fixed steel structure is the Burj Khalifa.\nFollow up: When was the Burj Khalifa completed?\nIntermediate answer: The Burj Khalifa was completed in 2010.\nSo the final answer is: 2010.\n'], 'decompsition_steps': [[{'question': 'What is the tallest fixed steel structure?', 'answer': 'The tallest fixed steel structure is the Burj Khalifa.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'When was the Burj Khalifa completed?', 'answer': 'The Burj Khalifa was completed in 2010.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '2010.'}]], 'traces_entailments': None}",,['2010'],0,0,0,0,100,In what year was the tallest fixed steel structure completed?,1988,,"
Are follow up questions needed here: Yes.
Follow up: What is the tallest fixed steel structure?
Intermediate answer: The tallest fixed steel structure is the Burj Khalifa.
Follow up: When was the Burj Khalifa completed?
Intermediate answer: The Burj Khalifa was completed in 2010.
So the final answer is: 2010.
"
96,"{'question': 'In what year was the tallest self-supporting tower completed?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What is the tallest self-supporting tower?\nIntermediate answer: The tallest self-supporting tower is the Burj Khalifa.\nFollow up: When was the Burj Khalifa completed?\nIntermediate answer: The Burj Khalifa was completed in 2010.\nSo the final answer is: 2010.\n'], 'decompsition_steps': [[{'question': 'What is the tallest self-supporting tower?', 'answer': 'The tallest self-supporting tower is the Burj Khalifa.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'When was the Burj Khalifa completed?', 'answer': 'The Burj Khalifa was completed in 2010.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '2010.'}]], 'traces_entailments': None}",,['2010'],0,0,0,0,101,In what year was the tallest self-supporting tower completed?,2012,,"
Are follow up questions needed here: Yes.
Follow up: What is the tallest self-supporting tower?
Intermediate answer: The tallest self-supporting tower is the Burj Khalifa.
Follow up: When was the Burj Khalifa completed?
Intermediate answer: The Burj Khalifa was completed in 2010.
So the final answer is: 2010.
"
97,"{'question': 'When was the person who shared the Nobel Prize in Physics in 1954 with Max Born born?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: Who shared the Nobel Prize in Physics in 1954 with Max Born?\nIntermediate answer: The person who shared the Nobel Prize in Physics in 1954 with Max Born is Walther Bothe.\nFollow up: When was Walther Bothe born?\nIntermediate answer: Walther Bothe was born on January 8, 1891.\nSo the final answer is: January 8, 1891.\n'], 'decompsition_steps': [[{'question': 'Who shared the Nobel Prize in Physics in 1954 with Max Born?', 'answer': 'The person who shared the Nobel Prize in Physics in 1954 with Max Born is Walther Bothe.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'When was Walther Bothe born?', 'answer': 'Walther Bothe was born on January 8, 1891.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'January 8, 1891.'}]], 'traces_entailments': None}",,"['January 8, 1891']",1,1,1,1,102,When was the person who shared the Nobel Prize in Physics in 1954 with Max Born born?,"January 8, 1891",,"
Are follow up questions needed here: Yes.
Follow up: Who shared the Nobel Prize in Physics in 1954 with Max Born?
Intermediate answer: The person who shared the Nobel Prize in Physics in 1954 with Max Born is Walther Bothe.
Follow up: When was Walther Bothe born?
Intermediate answer: Walther Bothe was born on January 8, 1891.
So the final answer is: January 8, 1891.
"
98,"{'question': 'Who is the father of the father of modern Hebrew?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: Who is the father of modern Hebrew?\nIntermediate answer: The father of modern Hebrew is Eliezer Ben-Yehuda.\nFollow up: Who is the father of Eliezer Ben-Yehuda?\nIntermediate answer: The father of Eliezer Ben-Yehuda is Shlomo Zalman Ben-Yehuda.\nSo the final answer is: Shlomo Zalman Ben-Yehuda.\n'], 'decompsition_steps': [[{'question': 'Who is the father of modern Hebrew?', 'answer': 'The father of modern Hebrew is Eliezer Ben-Yehuda.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'Who is the father of Eliezer Ben-Yehuda?', 'answer': 'The father of Eliezer Ben-Yehuda is Shlomo Zalman Ben-Yehuda.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Shlomo Zalman Ben-Yehuda.'}]], 'traces_entailments': None}",,['Shlomo Zalman Ben-Yehuda'],0,0,0,0,103,Who is the father of the father of modern Hebrew?,Yehuda Leib,,"
Are follow up questions needed here: Yes.
Follow up: Who is the father of modern Hebrew?
Intermediate answer: The father of modern Hebrew is Eliezer Ben-Yehuda.
Follow up: Who is the father of Eliezer Ben-Yehuda?
Intermediate answer: The father of Eliezer Ben-Yehuda is Shlomo Zalman Ben-Yehuda.
So the final answer is: Shlomo Zalman Ben-Yehuda.
"
99,"{'question': 'What is the lowest elevation of the longest railway tunnel?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What is the longest railway tunnel?\nIntermediate answer: The longest railway tunnel is the Gotthard Base Tunnel.\nFollow up: What is the lowest elevation of the Gotthard Base Tunnel?\nIntermediate answer: The lowest elevation of the Gotthard Base Tunnel is 2,300 meters.\nSo the final answer is: 2,300 meters.\n'], 'decompsition_steps': [[{'question': 'What is the longest railway tunnel?', 'answer': 'The longest railway tunnel is the Gotthard Base Tunnel.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'What is the lowest elevation of the Gotthard Base Tunnel?', 'answer': 'The lowest elevation of the Gotthard Base Tunnel is 2,300 meters.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '2,300 meters.'}]], 'traces_entailments': None}",,"['2,300 meters']",0,0,0,0,104,What is the lowest elevation of the longest railway tunnel?,312 m,,"
Are follow up questions needed here: Yes.
Follow up: What is the longest railway tunnel?
Intermediate answer: The longest railway tunnel is the Gotthard Base Tunnel.
Follow up: What is the lowest elevation of the Gotthard Base Tunnel?
Intermediate answer: The lowest elevation of the Gotthard Base Tunnel is 2,300 meters.
So the final answer is: 2,300 meters.
"
100,"{'question': 'Who was president of the U.S. when superconductivity was discovered?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: When was superconductivity discovered?\nIntermediate answer: Superconductivity was discovered in 1911.\nFollow up: Who was president of the U.S. in 1911?\nIntermediate answer: The president of the U.S. in 1911 was William Howard Taft.\nSo the final answer is: William Howard Taft.\n'], 'decompsition_steps': [[{'question': 'When was superconductivity discovered?', 'answer': 'Superconductivity was discovered in 1911.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'Who was president of the U.S. in 1911?', 'answer': 'The president of the U.S. in 1911 was William Howard Taft.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'William Howard Taft.'}]], 'traces_entailments': None}",,['William Howard Taft'],1,1,1,1,105,Who was president of the U.S. when superconductivity was discovered?,William Howard Taft,,"
Are follow up questions needed here: Yes.
Follow up: When was superconductivity discovered?
Intermediate answer: Superconductivity was discovered in 1911.
Follow up: Who was president of the U.S. in 1911?
Intermediate answer: The president of the U.S. in 1911 was William Howard Taft.
So the final answer is: William Howard Taft.
"
101,"{'question': 'Who was the father of the founder of modern human anatomy?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: Who was the founder of modern human anatomy?\nIntermediate answer: The founder of modern human anatomy was Andreas Vesalius.\nFollow up: Who was the father of Andreas Vesalius?\nIntermediate answer: The father of Andreas Vesalius was Andreas Vesalius.\nSo the final answer is: Andreas Vesalius.\n'], 'decompsition_steps': [[{'question': 'Who was the founder of modern human anatomy?', 'answer': 'The founder of modern human anatomy was Andreas Vesalius.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'Who was the father of Andreas Vesalius?', 'answer': 'The father of Andreas Vesalius was Andreas Vesalius.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Andreas Vesalius.'}]], 'traces_entailments': None}",,['Andreas Vesalius'],0,0,0,0,106,Who was the father of the founder of modern human anatomy?,Anders van Wesel,,"
Are follow up questions needed here: Yes.
Follow up: Who was the founder of modern human anatomy?
Intermediate answer: The founder of modern human anatomy was Andreas Vesalius.
Follow up: Who was the father of Andreas Vesalius?
Intermediate answer: The father of Andreas Vesalius was Andreas Vesalius.
So the final answer is: Andreas Vesalius.
"
102,"{'question': 'What was the final book written by the author of On the Origin of Species?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: Who was the author of On the Origin of Species?\nIntermediate answer: The author of On the Origin of Species was Charles Darwin.\nFollow up: What was the final book written by Charles Darwin?\nIntermediate answer: The final book written by Charles Darwin was The Descent of Man.\nSo the final answer is: The Descent of Man.\n'], 'decompsition_steps': [[{'question': 'Who was the author of On the Origin of Species?', 'answer': 'The author of On the Origin of Species was Charles Darwin.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'What was the final book written by Charles Darwin?', 'answer': 'The final book written by Charles Darwin was The Descent of Man.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'The Descent of Man.'}]], 'traces_entailments': None}",,['The Descent of Man'],0.1818181818,0.1818181818,0.1818181818,0.1818181818,107,What was the final book written by the author of On the Origin of Species?,The Formation of Vegetable Mould Through the Action of Worms,,"
Are follow up questions needed here: Yes.
Follow up: Who was the author of On the Origin of Species?
Intermediate answer: The author of On the Origin of Species was Charles Darwin.
Follow up: What was the final book written by Charles Darwin?
Intermediate answer: The final book written by Charles Darwin was The Descent of Man.
So the final answer is: The Descent of Man.
"
103,"{'question': 'In what country was the only cruise line that flies the American flag incorporated in?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What is the name of the only cruise line that flies the American flag?\nIntermediate answer: The only cruise line that flies the American flag is the Carnival Cruise Line.\nFollow up: In what country was the Carnival Cruise Line incorporated?\nIntermediate answer: The Carnival Cruise Line was incorporated in Panama.\nSo the final answer is: Panama.\n'], 'decompsition_steps': [[{'question': 'What is the name of the only cruise line that flies the American flag?', 'answer': 'The only cruise line that flies the American flag is the Carnival Cruise Line.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'In what country was the Carnival Cruise Line incorporated?', 'answer': 'The Carnival Cruise Line was incorporated in Panama.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Panama.'}]], 'traces_entailments': None}",,['Panama'],0,0,0,0,108,In what country was the only cruise line that flies the American flag incorporated in?,Bermuda,,"
Are follow up questions needed here: Yes.
Follow up: What is the name of the only cruise line that flies the American flag?
Intermediate answer: The only cruise line that flies the American flag is the Carnival Cruise Line.
Follow up: In what country was the Carnival Cruise Line incorporated?
Intermediate answer: The Carnival Cruise Line was incorporated in Panama.
So the final answer is: Panama.
"
104,"{'question': 'Who preceded the Roman emperor that declared war on the sea?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nAre follow up questions needed here: Yes.\nFollow up: Who was the Roman emperor that declared war on the sea?\nIntermediate answer: The Roman emperor that declared war on the sea was Caligula.\nFollow up: Who preceded Caligula?\nIntermediate answer: Caligula's predecessor was Tiberius.\nSo the final answer is: Tiberius.\n""], 'decompsition_steps': [[{'question': 'Who was the Roman emperor that declared war on the sea?', 'answer': 'The Roman emperor that declared war on the sea was Caligula.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'Who preceded Caligula?', 'answer': ""Caligula's predecessor was Tiberius."", 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Tiberius.'}]], 'traces_entailments': None}",,['Tiberius'],1,1,1,1,109,Who preceded the Roman emperor that declared war on the sea?,Tiberius,,"
Are follow up questions needed here: Yes.
Follow up: Who was the Roman emperor that declared war on the sea?
Intermediate answer: The Roman emperor that declared war on the sea was Caligula.
Follow up: Who preceded Caligula?
Intermediate answer: Caligula's predecessor was Tiberius.
So the final answer is: Tiberius.
"
105,"{'question': 'Which Theranos whistleblower is not related to a senior American government official?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: Which Theranos whistleblower is related to a senior American government official?\nIntermediate answer: Tyler Shultz is related to a senior American government official.\nFollow up: Which Theranos whistleblower is not related to a senior American government official?\nIntermediate answer: Erika Cheung is not related to a senior American government official.\nSo the final answer is: Erika Cheung.\n'], 'decompsition_steps': [[{'question': 'Which Theranos whistleblower is related to a senior American government official?', 'answer': 'Tyler Shultz is related to a senior American government official.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'Which Theranos whistleblower is not related to a senior American government official?', 'answer': 'Erika Cheung is not related to a senior American government official.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Erika Cheung.'}]], 'traces_entailments': None}",,['Erika Cheung'],1,1,1,1,110,Which Theranos whistleblower is not related to a senior American government official?,Erika Cheung,,"
Are follow up questions needed here: Yes.
Follow up: Which Theranos whistleblower is related to a senior American government official?
Intermediate answer: Tyler Shultz is related to a senior American government official.
Follow up: Which Theranos whistleblower is not related to a senior American government official?
Intermediate answer: Erika Cheung is not related to a senior American government official.
So the final answer is: Erika Cheung.
"
106,"{'question': 'Who founded the city where the founder of geometry lived?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: Who was the founder of geometry?\nIntermediate answer: The founder of geometry was Euclid.\nFollow up: Who founded the city where Euclid lived?\nIntermediate answer: The city where Euclid lived was Alexandria.\nFollow up: Who founded Alexandria?\nIntermediate answer: Alexandria was founded by Alexander the Great.\nSo the final answer is: Alexander the Great.\n'], 'decompsition_steps': [[{'question': 'Who was the founder of geometry?', 'answer': 'The founder of geometry was Euclid.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'Who founded the city where Euclid lived?', 'answer': 'The city where Euclid lived was Alexandria.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'Who founded Alexandria?', 'answer': 'Alexandria was founded by Alexander the Great.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Alexander the Great.'}]], 'traces_entailments': None}",,['Alexander the Great'],1,1,1,1,111,Who founded the city where the founder of geometry lived?,Alexander the Great,,"
Are follow up questions needed here: Yes.
Follow up: Who was the founder of geometry?
Intermediate answer: The founder of geometry was Euclid.
Follow up: Who founded the city where Euclid lived?
Intermediate answer: The city where Euclid lived was Alexandria.
Follow up: Who founded Alexandria?
Intermediate answer: Alexandria was founded by Alexander the Great.
So the final answer is: Alexander the Great.
"
107,"{'question': 'Can people who have celiac eat camel meat?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What is celiac?\nIntermediate answer: Celiac is a disease that causes people to be allergic to gluten.\nFollow up: What is gluten?\nIntermediate answer: Gluten is a protein found in wheat, barley, and rye.\nFollow up: What is in camel meat?\nIntermediate answer: Camel meat contains no gluten.\nSo the final answer is: Yes.\n'], 'decompsition_steps': [[{'question': 'What is celiac?', 'answer': 'Celiac is a disease that causes people to be allergic to gluten.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'What is gluten?', 'answer': 'Gluten is a protein found in wheat, barley, and rye.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'What is in camel meat?', 'answer': 'Camel meat contains no gluten.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Yes.'}]], 'traces_entailments': None}",,['Yes'],1,1,1,1,112,Can people who have celiac eat camel meat?,Yes,,"
Are follow up questions needed here: Yes.
Follow up: What is celiac?
Intermediate answer: Celiac is a disease that causes people to be allergic to gluten.
Follow up: What is gluten?
Intermediate answer: Gluten is a protein found in wheat, barley, and rye.
Follow up: What is in camel meat?
Intermediate answer: Camel meat contains no gluten.
So the final answer is: Yes.
"
108,"{'question': 'Which company was responsible for the largest pharmaceutical settlement?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What was the largest pharmaceutical settlement?\nIntermediate answer: The largest pharmaceutical settlement was $2.3 billion.\nFollow up: Which company was responsible for the largest pharmaceutical settlement?\nIntermediate answer: The company responsible for the largest pharmaceutical settlement was GlaxoSmithKline.\nSo the final answer is: GlaxoSmithKline.\n'], 'decompsition_steps': [[{'question': 'What was the largest pharmaceutical settlement?', 'answer': 'The largest pharmaceutical settlement was $2.3 billion.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'Which company was responsible for the largest pharmaceutical settlement?', 'answer': 'The company responsible for the largest pharmaceutical settlement was GlaxoSmithKline.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'GlaxoSmithKline.'}]], 'traces_entailments': None}",,['GlaxoSmithKline'],1,1,1,1,113,Which company was responsible for the largest pharmaceutical settlement?,GlaxoSmithKline,,"
Are follow up questions needed here: Yes.
Follow up: What was the largest pharmaceutical settlement?
Intermediate answer: The largest pharmaceutical settlement was $2.3 billion.
Follow up: Which company was responsible for the largest pharmaceutical settlement?
Intermediate answer: The company responsible for the largest pharmaceutical settlement was GlaxoSmithKline.
So the final answer is: GlaxoSmithKline.
"
109,"{'question': 'What is the length of the second deepest river in the world?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What is the second deepest river in the world?\nIntermediate answer: The second deepest river in the world is the Congo River.\nFollow up: What is the length of the Congo River?\nIntermediate answer: The length of the Congo River is 2,920 miles.\nSo the final answer is: 2,920 miles.\n'], 'decompsition_steps': [[{'question': 'What is the second deepest river in the world?', 'answer': 'The second deepest river in the world is the Congo River.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'What is the length of the Congo River?', 'answer': 'The length of the Congo River is 2,920 miles.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '2,920 miles.'}]], 'traces_entailments': None}",,"['2,920 miles']",0,0,0,0,114,What is the length of the second deepest river in the world?,"6,300 km",,"
Are follow up questions needed here: Yes.
Follow up: What is the second deepest river in the world?
Intermediate answer: The second deepest river in the world is the Congo River.
Follow up: What is the length of the Congo River?
Intermediate answer: The length of the Congo River is 2,920 miles.
So the final answer is: 2,920 miles.
"
110,"{'question': 'What was the job of the father of the founder of psychoanalysis?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nAre follow up questions needed here: Yes.\nFollow up: Who was the founder of psychoanalysis?\nIntermediate answer: The founder of psychoanalysis was Sigmund Freud.\nFollow up: What was the job of Sigmund Freud's father?\nIntermediate answer: Sigmund Freud's father was a wool merchant.\nSo the final answer is: Wool merchant.\n""], 'decompsition_steps': [[{'question': 'Who was the founder of psychoanalysis?', 'answer': 'The founder of psychoanalysis was Sigmund Freud.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': ""What was the job of Sigmund Freud's father?"", 'answer': ""Sigmund Freud's father was a wool merchant."", 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Wool merchant.'}]], 'traces_entailments': None}",,['Wool merchant'],1,1,1,1,115,What was the job of the father of the founder of psychoanalysis?,wool merchant,,"
Are follow up questions needed here: Yes.
Follow up: Who was the founder of psychoanalysis?
Intermediate answer: The founder of psychoanalysis was Sigmund Freud.
Follow up: What was the job of Sigmund Freud's father?
Intermediate answer: Sigmund Freud's father was a wool merchant.
So the final answer is: Wool merchant.
"
